"A product from each category must be in the cart to receive the discount.","A product from each category must be in the cart to receive the discount."
Action,Action
Active,Active
"Advanced settings","Advanced settings"
"After N","After N"
"All Products After N Get Discounted","All Products After N Get Discounted"
"Are you sure you want to change the expire date?","Are you sure you want to change the expire date?"
"Are you sure you want to change the priority?","Are you sure you want to change the priority?"
"Are you sure you want to change the start date?","Are you sure you want to change the start date?"
"Are you sure you want to change the status?","Are you sure you want to change the status?"
"Are you sure?","Are you sure?"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and ""SLR Camera Tripod"" and receive a 20% discount","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and ""SLR Camera Tripod"" and receive a 20% discount"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and ""SLR Camera Tripod"" for $500.00","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and ""SLR Camera Tripod"" for $500.00"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and purchase any product in the Camera Accessory category for $30.00","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and purchase any product in the Camera Accessory category for $30.00"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive ""SLR Camera Tripod"" for $30.00","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive ""SLR Camera Tripod"" for $30.00"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive ""SLR Camera Tripod"" for free","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive ""SLR Camera Tripod"" for free"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive $20.00 off ""SLR Camera Tripod""","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive $20.00 off ""SLR Camera Tripod"""
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive $20.00 off any product in the Camera Accessory category","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive $20.00 off any product in the Camera Accessory category"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive 10% off ""SLR Camera Tripod""","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive 10% off ""SLR Camera Tripod"""
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive 20% off any product in the Camera Accessory category","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive 20% off any product in the Camera Accessory category"
"Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive any product in the Camera Accessory category for free","Buy ""Canon Digital Rebel XT 8MP Digital SLR Camera"" and receive any product in the Camera Accessory category for free"
"Buy 2 products and the 2nd costs $10.00","Buy 2 products and the 2nd costs $10.00"
"Buy 2 products and the 2nd is $10.00 off","Buy 2 products and the 2nd is $10.00 off"
"Buy 2 products and the 2nd is 10% off","Buy 2 products and the 2nd is 10% off"
"Buy 3 products and the 3rd costs $20.00","Buy 3 products and the 3rd costs $20.00"
"Buy 3 products and the 3rd is $20.00 off","Buy 3 products and the 3rd is $20.00 off"
"Buy 3 products and the 3rd is 20% off","Buy 3 products and the 3rd is 20% off"
"Buy a set of products and receive a discount. This is a great way to discount a group of related products.","Buy a set of products and receive a discount. This is a great way to discount a group of related products."
"Buy any 2 products and the cheapest product are free.","Buy any 2 products and the cheapest product are free."
"Buy any 2 products and the cheapest product gets 10% off.","Buy any 2 products and the cheapest product gets 10% off."
"Buy any 2 products and the cheapest product gets a fixed discount.","Buy any 2 products and the cheapest product gets a fixed discount."
"Buy any 2 products and the cheapest product will cost $10.00","Buy any 2 products and the cheapest product will cost $10.00"
"Buy any 2 products and the most expensive product are free.","Buy any 2 products and the most expensive product are free."
"Buy any 2 products and the most expensive product gets 10% off.","Buy any 2 products and the most expensive product gets 10% off."
"Buy any 2 products and the most expensive product gets a fixed discount.","Buy any 2 products and the most expensive product gets a fixed discount."
"Buy any 2 products and the most expensive product will be $30.00.","Buy any 2 products and the most expensive product will be $30.00."
"Buy any 3 products and the  most expensive 2 products gets 10% off.","Buy any 3 products and the  most expensive 2 products gets 10% off."
"Buy any 3 products and the cheapest 2 products are free.","Buy any 3 products and the cheapest 2 products are free."
"Buy any 3 products and the cheapest 2 products cost $20.00 each.","Buy any 3 products and the cheapest 2 products cost $20.00 each."
"Buy any 3 products and the cheapest 2 products gets 10% off.","Buy any 3 products and the cheapest 2 products gets 10% off."
